word,category,sources
cover,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
cow,Animals,"globish, ogdens_basic_english, voa_special_english"
crack,Nature,"ogdens_basic_english, upgoer5"
crash,Transport,"globish, voa_special_english"
crazy,People,upgoer5
create,Business,"globish, voa_special_english"
creature,Animals,voa_special_english
credit,Business,"globish, ogdens_basic_english, voa_special_english"
crew,People,"globish, voa_special_english"
crime,Political,"globish, ogdens_basic_english, voa_special_english"
criminal,Political,voa_special_english
crisis,Business,"globish, voa_special_english"
criteria,Business,globish
criticize,Education,"globish, voa_special_english"
crop,Agriculture,globish
crops,Agriculture,voa_special_english
cross,Visual,"globish, upgoer5, voa_special_english"
crowd,People,"globish, upgoer5, voa_special_english"
cruel,People,ogdens_basic_english
crush,Industry,"globish, ogdens_basic_english, voa_special_english"
cry,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
culture,Education,"globish, voa_special_english"
cup,Household,"globish, ogdens_basic_english, upgoer5"
cure,Body Parts,"globish, voa_special_english"
curfew,Political,voa_special_english
current,Time,"globish, ogdens_basic_english, voa_special_english"
curtain,Household,ogdens_basic_english
curve,Mathematics,ogdens_basic_english
cushion,Household,ogdens_basic_english
custom,Business,"globish, voa_special_english"
customs,Political,voa_special_english
cut,Agriculture,"globish, ogdens_basic_english, upgoer5, voa_special_english"
cute,Visual,upgoer5
dad,People,upgoer5
dam,Industry,voa_special_english
damage,Business,"globish, ogdens_basic_english, voa_special_english"
damn,People,upgoer5
dance,Visual,"globish, upgoer5, voa_special_english"
danger,Nature,"globish, ogdens_basic_english, voa_special_english"
dark,Visual,"globish, ogdens_basic_english, upgoer5, voa_special_english"
date,Time,"globish, upgoer5, voa_special_english"
daughter,People,"globish, ogdens_basic_english, upgoer5, voa_special_english"
day,Time,"globish, ogdens_basic_english, upgoer5, voa_special_english"
dead,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
deaf,Education,"globish, voa_special_english"
deal,Business,"globish, upgoer5, voa_special_english"
dear,People,"globish, ogdens_basic_english, upgoer5"
death,Nature,"ogdens_basic_english, upgoer5"
debate,Political,"globish, voa_special_english"
debt,Business,"globish, ogdens_basic_english, voa_special_english"
decide,Business,"globish, upgoer5, voa_special_english"
decision,Business,ogdens_basic_english
declare,Political,"globish, voa_special_english"
decrease,Mathematics,"globish, voa_special_english"
deep,Nature,"globish, ogdens_basic_english, upgoer5, voa_special_english"
defeat,War,"globish, voa_special_english"
defend,War,"globish, voa_special_english"
deficit,Business,voa_special_english
define,Education,"globish, voa_special_english"
definitely,Visual,upgoer5
degree,Mathematics,"globish, ogdens_basic_english, voa_special_english"
delay,Time,"globish, voa_special_english"
delegate,Political,voa_special_english
delicate,Nature,"globish, ogdens_basic_english"
deliver,Business,globish
demand,Business,"globish, voa_special_english"
democracy,Political,voa_special_english
demonstrate,Education,"globish, voa_special_english"
denounce,Political,"globish, voa_special_english"
deny,Political,"globish, voa_special_english"
departure,Transport,globish
depend,Business,"globish, voa_special_english"
dependent,Education,ogdens_basic_english
deplore,Agriculture,voa_special_english
deploy,War,"globish, voa_special_english"
depression,Business,"globish, voa_special_english"
describe,Visual,"globish, voa_special_english"
desert,Nature,voa_special_english
desert*,Nature,globish
design,Visual,"globish, ogdens_basic_english, voa_special_english"
desire,People,"globish, ogdens_basic_english, voa_special_english"
desk,Household,upgoer5
destroy,War,"globish, voa_special_english"
destruction,War,ogdens_basic_english
detail,Visual,"globish, ogdens_basic_english, voa_special_english"
detain,Political,voa_special_english
develop,Business,"globish, voa_special_english"
development,Business,ogdens_basic_english
device,Tools,"globish, voa_special_english"
dictator,Political,voa_special_english
did,Time,upgoer5
die,Tools,"globish, upgoer5, voa_special_english"
diet,Food/Drink,"globish, voa_special_english"
differ,Visual,globish
different,Visual,"ogdens_basic_english, upgoer5, voa_special_english"
difficult,Education,"globish, voa_special_english"
dig,Agriculture,"globish, voa_special_english"
digestion,Nature,ogdens_basic_english
dinner,Food/Drink,"globish, upgoer5, voa_special_english"
diplomat,People,"globish, voa_special_english"
direct,Direction,"globish, voa_special_english"
direction,Direction,"ogdens_basic_english, upgoer5, voa_special_english"
dirt,Nature,"globish, voa_special_english"
dirty,Visual,ogdens_basic_english
disappear,Visual,"globish, upgoer5, voa_special_english"
disarm,War,voa_special_english
disaster,Nature,voa_special_english
discover,Education,"globish, voa_special_english"
discovery,Education,ogdens_basic_english
discrimination,Political,voa_special_english
discuss,Education,"globish, voa_special_english"
discussion,People,ogdens_basic_english
disease,Nature,"globish, ogdens_basic_english, voa_special_english"
disgust,Education,ogdens_basic_english
disk,Mathematics,globish
dismiss,Business,"globish, voa_special_english"
dispute,Business,"globish, voa_special_english"
dissident,Political,voa_special_english
distance,Mathematics,"globish, ogdens_basic_english, voa_special_english"
distribution,Mathematics,ogdens_basic_english
dive,Direction,voa_special_english
divide,Mathematics,"globish, voa_special_english"
division,Mathematics,ogdens_basic_english
do,Business,"globish, ogdens_basic_english, upgoer5, voa_special_english"
doctor,People,"globish, upgoer5, voa_special_english"
document,Business,"globish, voa_special_english"
does,Nature,upgoer5
dog,Animals,"globish, ogdens_basic_english, upgoer5, voa_special_english"
dollar,Business,voa_special_english
donate,Business,voa_special_english
done,Time,upgoer5
door,Household,"globish, ogdens_basic_english, upgoer5, voa_special_english"
double,Mathematics,voa_special_english
doubt,Education,"globish, ogdens_basic_english, upgoer5"
down,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
drag,Direction,upgoer5
drain,Agriculture,"globish, ogdens_basic_english"
draw,Visual,"globish, upgoer5"
drawer,Household,ogdens_basic_english
dream,Visual,"globish, upgoer5, voa_special_english"
dress,Clothes,"globish, ogdens_basic_english, upgoer5"
drink,Food/Drink,"globish, ogdens_basic_english, upgoer5, voa_special_english"
drive,Transport,"globish, upgoer5, voa_special_english"
driving,Transport,ogdens_basic_english
drop,Direction,"globish, ogdens_basic_english, upgoer5, voa_special_english"
drove,Transport,upgoer5
drown,Nature,voa_special_english
